course_code,course_title,u,has_asterisk
ME G511,Mechanism and Robotics,5,No
ME G512,Finite Element Methods,5,No
ME G514,Turbomachinery,5,No
ME G515,Computational Fluid Dynamics,5,No
ME G533,Conduction and Radiation Heat Transfer,25,No
ME G534,Convective Heat and Mass Transfer,5,No
ME G544,Multibody Dynamics,5,No
ME G614,Topology Optimization of Machine Components,5,No
MF F311,Mechatronics and Automation,3,No
MF F421,Supply chain management,4,No
MST G522,Advanced Composites,5,No
PHA F315,Pharmaceutical Formulations II,3,No
PHA F341,Pharmacology II,3,No
PHA F342,Medicinal Chemistry II,3,No
PHA F343,Forensic Pharmacy,2,No
PHA F344,Natural Drugs,3,No
PHA F316,Pharmaceutical Regulatory Science,3,No
PHA F317,Safety Pharmacology and Toxicology,3,No
PHA F413,Pharmaceutical Management and Quality Control,3,No
PHA F414,Biopharmaceutics,3,No
PHA F415,Pathophysiology,3,No
PHA F416,Chemistry of Synthetic Drugs,3,No
PHA F417,Pharmacoeconomics,3,No
PHA F418,Biopharmaceutics and Pharmacokinetics,3,No
PHA F419,Herbal Drug Technology,3,No
PHA F422,Cosmetic Science,3,No
PHA F432,Hospital Pharmacy,3,No
PHA F441,Biochemical Engineering,3,No
PHA F442,Applied Pharmaceutical Chemistry,3,No
PHA F461,Phytochemistry,3,No
PHA G546,Pharmaceutical Biostatistics,3,No
PHY F319,Spacecraft Systems,3,No
BIO F211,Biological Chemistry,3,No
BIO F212,Microbiology,4,No
BIO F213,Cell Biology,3,No
BIO F214,Integrated Biology,3,No
BIO F215,Biophysics,3,No
BIO F241,Ecology & Environmental Science,3,No
BIO F242,Introduction to Bioinformatics,3,No
BIO F243,Genetics,3,No
BIO F244,Instrumental Methods of Analysis,4,No
BIO F311,Recombinant DNA Technology,3,No
BIO F312,Plant Physiology,3,No
BIO F313,Animal Physiology,3,No
BIO F341,Developmental Biology,3,No
BIO F342,Immunology,3,No
BITS F219,Process Engineering,3,No
PHA F211,Pharmaceutical Analysis,3,No
PHA F214,Anatomy, Physiology & Hygiene,3,No
PHA F215,Introduction to Molecular Biology and Immunology,3,No
PHA F216,Pharmaceutical Formulations 1,3,No
PHA F217,Pharmaceutical Microbiology,3,No
PHA F241,Pharmaceutical Chemistry,3,No
PHA F242,Biological Chemistry,3,No
PHA F243,Industrial Pharmacy,3,No
PHA F244,Physical Pharmacy,3,No
PHA F311,Pharmacology I,3,No
PHA F312,Medicinal Chemistry I,3,No
PHA F313,Instrumental Methods of Analysis,4,No
BIO F216,Water, Sanitation and Solid Waste Management,3,No
BIO F217,Laboratory for Water, Sanitation and Solid waste Management,1,No
BIO F231,Biology Project Laboratory,3,No
BIO F314,Conservation Biology,3,No
BIO F315,Applied Nutrition and Nutraceuticals,2,No
BIO F352,Cell and Tissue Culture Technology,4,No
BIO F411,Laboratory,3,No
BIO F413,Molecular Biology of Cell,3,No
BIO F417,Biomolecular Modelling,3,No
BIO F418,Genetic Engineering Techniques,4,No
BIO F419,Molecular Evolution,3,No
BIO F421,Enzymology,3,No
BIO F431,Reproductive Physiology,3,No
BIO F441,Biochemical Engineering,3,No
BIO F451,Bioprocess Technology,3,No
BIO G512,Molecular Mechanism of Gene Expression,5,No
BIO G513,Microbial and Fermentation Technology,3,No
BIO G515,Stem Cell and Regenerative Biology,4,No
BIO G522,Interferon Technology,4,No
BIO G523,Advanced and Applied Microbiology,3,No
BIO G524,Animal Cell Technology,5,No
BIO G525,Environmental Biotechnology & Waste Mgnt,3,No
BIO G526,Cancer Biology,3,No
BIO G544,Bioremediation and biometallurgy,5,No
BIO G545,Molecular Parasitology and Vector Biology,5,No
BIO G561,Advances in Recombinant DNA Technology,5,No
BIO G570,Recent Developments in Biology,1,No
BIO G612,Human Genetics,5,No
BIO G631,Membrane and Liposome Technology,4,No
BIO G632,Transgenic Technology,5,No
BIO G642,Experimental Techniques,4,No
BIO G643,Plant Biotechnology,3,No
BIO G651,Protein and Enzyme Bioengineering,3,No
BIO G661,Gene Toxicology,4,No
CHEM F211,Physical Chemistry I,3,No
CHEM F212,Organic Chemistry I,3,No
CHEM F213,Physical Chemistry II,3,No
CHEM F214,Inorganic Chemistry I,3,No
CHEM F241,Inorganic Chemistry II,3,No
CHEM F242,Chemical Experimentation I,3,No
CHEM F243,Organic Chemistry II,3,No
CHEM F244,Physical Chemistry III,3,No
CHEM F311,Organic Chemistry III,30,No
CHEM F312,Physical Chemistry IV,3,No
CHEM F313,Instrumental Methods of Analysis,4,No
CHEM F341,Chemical Experimentation II,4,No
CHEM F342,Organic Chemistry IV,30,No
CHEM F343,Inorganic Chemistry III,30,No
PHY F212,Electromagnetic Theory I,3,No
CHEM F223,Colloid and Surface Chemistry,3,No
CHEM F320,Introductory Computational Chemistry Laboratory,2,No
CHEM F323,Biophysical Chemistry,3,No
CHEM F324,Numerical Methods in Chemistry,4,No
CHEM F326,Solid State Chemistry,3,No
CHEM F327,Electrochemistry: Fundamentals and Applications,3,No
CHEM F328,Supramolecular Chemistry,3,No
CHEM F329,Analytical Chemistry,4,No
CHEM F330,Photophysical Chemistry,4,No
CHEM F333,Chemistry of Materials,3,No
CHEM F334,Magnetic Resonance,30,No
CHEM F335,Organic Chemistry and Drug Design,3,No
CHEM F336,Nanochemistry,4,No
CHEM F337,Green Chemistry and Catalysis,3,No
CHEM F412,Photochemistry and Laser Spectroscopy,3,No
CHEM F413,Electron Correlation In Atoms And Molecules,4,No
CHEM F414,Bio and Chemical Sensors,3,No
CHEM F415,Frontiers in Organic Synthesis,3,No
CHEM F416,Applied Crystallography,3,No
CHEM F422,Statistical Thermodynamics,3,No
CHEM F423,Astrochemistry,3,No
CHEM F430,Atmospheric Chemistry,3,No
CHEM F431,Sustainable Chemistry using Renewables,3,No
CHEM G521,Environmental Chemistry,5,No
ECON F356,Strategic Financial Management,3,No
ECON F357,Management Control System,3,No
ECON F412,Security Analysis and Portfolio Management,3,No
ECON F413,Financial Engineering,3,No
ECON F414,Creating and Leading Entrepreneurial Organizations,3,No
ECON F415,New Venture Creation,3,No
ECON F417,Risk Management and Insurance,3,No
ECON F418,Quantitative Analysis of International Trade,3,No
ECON F419,Advanced Microeconomics,3,No
ECON F420,Applied Macroeconometrics,3,No
ECON F422,Functions and Working of Stock Exchanges,3,No
ECON F434,International Business,3,No
ECON F435,Marketing Research,3,No
ECON F471,Resources and Environmental Economics,3,No
FIN F314,Investment Banking and Financial Services,3,No
FIN F414,Financial Risk Analytics and Management,3,No
MATH F242,Operations Research,3,No
ECON F211,Principles of Economics,3,No
ECON F212,Fundamentals of Finance and Accounts,3,No
ECON F213,Mathematical and Statistical Methods,3,No
ECON F214,Economic Environment of Business,3,No
ECON F241,Econometric Methods,3,No
ECON F242,Microeconomics,3,No
ECON F243,Macroeconomics,3,No
ECON F244,Economics of Growth and Development,3,No
ECON F311,International Economics,3,No
ECON F312,Money, Banking and Financial Markets,3,No
ECON F313,Issues in Economic Development,3,No
ECON F341,Public Finance Theory and Policy,3,No
MATH F213,Discrete Mathematics,3,No
MATH F214,Elementary Real Analysis,3,No
MATH F215,Algebra I,3,No
MATH F241,Mathematical Methods,3,No
MATH F244,Measure & Integration,3,No
MATH F311,Introduction to Topology,3,No
MATH F312,Ordinary Differential Equations,3,No
MATH F341,Introduction to Functional Analysis,3,No
MATH F342,Differential Geometry,3,No
MATH F343,Partial Differential Equations,3,No
BITS F314,Game Theory and Its Applications,3,No
ECON F342,Applied Econometrics,3,No
ECON F343,Economic Analysis of Public Policy,3,No
ECON F215,Computational Methods for Economics,3,No
ECON F315,Financial Management,3,No
ECON F314,Industrial Economics,3,No
ECON F345,Behavioral Economics,3,No
ECON F351,Indian Economic Development,3,No
ECON F352,Management of Banks and Financial Institutions,3,No
ECON F355,Business Analysis and Valuation,3,No
CS F232,Foundations of Data Structures and Algorithms,4,No
MATH F314,Algebra II,3,No
MATH F316,Matrix Theory and Linear Estimation,4,No
MATH F317,Sampling Theory,4,No
MATH F353,Statistical Inference and Applications,3,No
MATH F354,Complex Analysis,3,No
MATH F378,Advanced Probability Theory,3,No
